id,author,title,rating,stock
1,George R.R. Martin,Oliver Twist,3.7,29
2,Agatha Christie,The Great Gatsby,3.8,3
3,Margaret Atwood,Oliver Twist,4.8,13
4,Mark Twain,Mrs. Dalloway,4.7,31
5,C.S. Lewis,Fahrenheit 451,3.4,10
6,Ray Bradbury,Mrs. Dalloway,4.8,35
7,John Grisham,The Chronicles of Narnia,4.5,73
8,C.S. Lewis,Oliver Twist,4.2,80
9,George R.R. Martin,The Handmaid's Tale,4.5,57
10,Charles Dickens,Fahrenheit 451,4.9,41
11,Isaac Asimov,Outliers,3.4,95
12,Virginia Woolf,The Adventures of Tom Sawyer,5,12
13,Dan Brown,The Shining,4.5,89
14,Dan Brown,Pride and Prejudice,3.7,37
15,Isaac Asimov,The Great Gatsby,3.1,30
16,Isaac Asimov,The Old Man and the Sea,3.3,85
17,Isaac Asimov,Angels & Demons,3.9,18
18,Virginia Woolf,Pride and Prejudice,3.5,27
19,F. Scott Fitzgerald,Outliers,4,45
20,Margaret Atwood,Mrs. Dalloway,3.1,57
21,Jane Austen,Angels & Demons,3.1,46
22,Stephen King,A Game of Thrones,3.5,46
23,Ernest Hemingway,Oliver Twist,4.4,6
24,Ray Bradbury,To Kill a Mockingbird,3.4,35
25,J.K. Rowling,Pride and Prejudice,3,51
26,Agatha Christie,The Firm,4.6,13
27,Virginia Woolf,The Adventures of Tom Sawyer,4.1,20
28,Margaret Atwood,The Old Man and the Sea,4.1,23
29,C.S. Lewis,A Game of Thrones,4.8,27
30,J.R.R. Tolkien,Fahrenheit 451,4.3,15
31,J.R.R. Tolkien,Outliers,3.2,1
32,Isaac Asimov,Pride and Prejudice,4.3,78
33,Ray Bradbury,The Great Gatsby,3.9,56
34,J.R.R. Tolkien,The Adventures of Tom Sawyer,5,43
35,Stephen King,A Game of Thrones,3.3,96
36,Dan Brown,Mrs. Dalloway,3.5,11
37,Stephen King,A Game of Thrones,3.1,16
38,Ray Bradbury,A Game of Thrones,3.4,61
39,Ernest Hemingway,Mrs. Dalloway,3.5,63
40,Harper Lee,The Kite Runner,3.4,78
41,Stephen King,The Chronicles of Narnia,3.2,4
42,J.K. Rowling,Outliers,3.2,63
43,Dan Brown,To Kill a Mockingbird,3,33
44,Ernest Hemingway,The Shining,4.6,16
45,Harper Lee,Mrs. Dalloway,3.5,95
46,Mark Twain,Murder on the Orient Express,4.6,14
47,C.S. Lewis,The Adventures of Tom Sawyer,3.9,19
48,Ernest Hemingway,Mrs. Dalloway,3.4,47
49,J.R.R. Tolkien,The Hobbit,3.4,59
50,Harper Lee,The Hobbit,3.8,42
51,Virginia Woolf,The Kite Runner,3.8,13
52,J.K. Rowling,Mrs. Dalloway,3.6,87
53,C.S. Lewis,The Old Man and the Sea,3.4,77
54,Khaled Hosseini,Murder on the Orient Express,4.1,67
55,George R.R. Martin,Outliers,3.4,61
56,Ernest Hemingway,The Shining,4.5,71
57,Ray Bradbury,The Handmaid's Tale,4.6,93
58,Dan Brown,The Kite Runner,4.5,89
59,J.R.R. Tolkien,The Shining,3.1,77
60,Virginia Woolf,Mrs. Dalloway,3,9
61,J.R.R. Tolkien,The Chronicles of Narnia,3.9,9
62,Charles Dickens,The Sorcerer's Stone,3.1,74
63,George R.R. Martin,The Shining,4.5,59
64,Mark Twain,Foundation,4.2,63
65,J.R.R. Tolkien,The Hobbit,4.4,93
66,Isaac Asimov,The Hobbit,3.6,99
67,Margaret Atwood,Murder on the Orient Express,3.8,47
68,F. Scott Fitzgerald,The Handmaid's Tale,3,13
69,J.K. Rowling,The Handmaid's Tale,3.4,90
70,Charles Dickens,The Shining,4.3,59
71,Harper Lee,Murder on the Orient Express,3.6,62
72,Khaled Hosseini,The Great Gatsby,4.4,8
73,C.S. Lewis,The Shining,4.5,47
74,J.K. Rowling,Angels & Demons,4,86
75,Mark Twain,The Old Man and the Sea,4.3,19
76,Khaled Hosseini,The Shining,3.9,84
77,Khaled Hosseini,Oliver Twist,3.7,13
78,Margaret Atwood,The Great Gatsby,3.7,82
79,Harper Lee,To Kill a Mockingbird,3.5,43
80,Ray Bradbury,Fahrenheit 451,3.7,33
81,Harper Lee,Foundation,3.6,83
82,Charles Dickens,The Great Gatsby,4.2,76
83,Malcolm Gladwell,Mrs. Dalloway,3.9,53
84,F. Scott Fitzgerald,The Handmaid's Tale,3.3,80
85,Agatha Christie,Oliver Twist,4.2,45
86,Jane Austen,Mrs. Dalloway,3.6,28
87,F. Scott Fitzgerald,The Chronicles of Narnia,3.2,19
88,Agatha Christie,Fahrenheit 451,4.4,26
89,Isaac Asimov,A Game of Thrones,4.2,34
90,Dan Brown,The Firm,4.3,85
91,Ray Bradbury,The Kite Runner,3.5,55
92,Ernest Hemingway,The Old Man and the Sea,3.8,48
93,Mark Twain,Pride and Prejudice,4.1,57
94,Ray Bradbury,The Firm,4.6,53
95,J.K. Rowling,The Firm,3.9,83
96,Mark Twain,The Shining,4.4,10
97,Ray Bradbury,The Shining,4.8,36
98,Stephen King,The Sorcerer's Stone,4.9,51
99,J.K. Rowling,Mrs. Dalloway,4,3
100,J.K. Rowling,Foundation,4.1,30
101,Virginia Woolf,A Game of Thrones,3.3,8
102,Stephen King,Pride and Prejudice,4.1,8
103,Malcolm Gladwell,Pride and Prejudice,4.5,94
104,J.K. Rowling,Pride and Prejudice,3.4,100
105,Ernest Hemingway,The Firm,3.7,35
106,Khaled Hosseini,The Hobbit,4.6,66
107,Ernest Hemingway,The Chronicles of Narnia,4.5,82
108,Ray Bradbury,Murder on the Orient Express,3.6,15
109,Ray Bradbury,Pride and Prejudice,3.8,77
110,Stephen King,The Kite Runner,3.9,8
111,George R.R. Martin,The Kite Runner,4.3,17
112,Ray Bradbury,The Handmaid's Tale,3.7,31
113,Jane Austen,Pride and Prejudice,4.6,17
114,Virginia Woolf,The Great Gatsby,3.9,74
115,George R.R. Martin,The Adventures of Tom Sawyer,4.8,93
116,Charles Dickens,Mrs. Dalloway,3,82
117,Dan Brown,Foundation,4.6,7
118,C.S. Lewis,The Old Man and the Sea,3.3,38
119,Stephen King,The Handmaid's Tale,4.8,93
120,F. Scott Fitzgerald,To Kill a Mockingbird,4.3,14
121,Isaac Asimov,The Sorcerer's Stone,3.9,14
122,Dan Brown,Mrs. Dalloway,4.1,84
123,Margaret Atwood,The Firm,4.2,4
124,Khaled Hosseini,The Old Man and the Sea,3.3,91
125,J.R.R. Tolkien,A Game of Thrones,3.1,58
126,Ray Bradbury,Outliers,3.3,84
127,Virginia Woolf,Murder on the Orient Express,3.4,22
128,Dan Brown,To Kill a Mockingbird,3,59
129,Ernest Hemingway,Murder on the Orient Express,4.9,21
130,Dan Brown,The Firm,4.3,82
131,Malcolm Gladwell,Oliver Twist,3.8,72
132,Stephen King,The Old Man and the Sea,3.4,77
133,J.R.R. Tolkien,Outliers,3.4,25
134,John Grisham,The Handmaid's Tale,3.6,50
135,Jane Austen,The Sorcerer's Stone,3.7,57
136,Jane Austen,The Old Man and the Sea,4.1,49
137,Dan Brown,Murder on the Orient Express,4.8,63
138,F. Scott Fitzgerald,A Game of Thrones,3.9,95
139,F. Scott Fitzgerald,Fahrenheit 451,4.9,53
140,F. Scott Fitzgerald,The Hobbit,3.1,32
141,Jane Austen,A Game of Thrones,3.7,17
142,F. Scott Fitzgerald,Oliver Twist,4.5,21
143,Malcolm Gladwell,Angels & Demons,3.3,38
144,Malcolm Gladwell,The Handmaid's Tale,3.8,87
145,Khaled Hosseini,Angels & Demons,4.8,7
146,Mark Twain,The Shining,4.8,13
147,Margaret Atwood,Outliers,4.8,38
148,Ray Bradbury,Angels & Demons,4.7,9
149,George R.R. Martin,Oliver Twist,3.7,64
150,Stephen King,The Hobbit,4.6,66
151,J.K. Rowling,Oliver Twist,4.5,36
152,Malcolm Gladwell,The Firm,5,88
153,Mark Twain,Angels & Demons,3.5,67
154,J.K. Rowling,The Hobbit,3.1,23
155,F. Scott Fitzgerald,Oliver Twist,4.1,1
156,Mark Twain,Oliver Twist,3.8,94
157,John Grisham,The Kite Runner,4.8,58
158,Mark Twain,The Kite Runner,4.3,9
159,Khaled Hosseini,Outliers,3.5,35
160,Ernest Hemingway,To Kill a Mockingbird,4.9,69
161,Isaac Asimov,The Kite Runner,4.8,14
162,Stephen King,The Adventures of Tom Sawyer,4.8,19
163,F. Scott Fitzgerald,The Kite Runner,3.7,57
164,F. Scott Fitzgerald,The Adventures of Tom Sawyer,4.8,35
165,F. Scott Fitzgerald,Foundation,3.8,98
166,Charles Dickens,The Handmaid's Tale,3.6,67
167,Agatha Christie,The Firm,4.8,88
168,Virginia Woolf,Angels & Demons,3.3,28
169,Dan Brown,Outliers,4.8,17
170,Virginia Woolf,Murder on the Orient Express,4.4,31
171,Dan Brown,The Hobbit,4.8,53
172,Jane Austen,The Hobbit,4.3,37
173,J.R.R. Tolkien,A Game of Thrones,5,49
174,Ray Bradbury,To Kill a Mockingbird,3.3,17
175,Charles Dickens,Pride and Prejudice,4.5,82
176,C.S. Lewis,The Chronicles of Narnia,4.9,94
177,Harper Lee,The Shining,3.6,70
178,Isaac Asimov,Angels & Demons,3.5,94
179,Ernest Hemingway,Mrs. Dalloway,4,43
180,Malcolm Gladwell,Mrs. Dalloway,4.6,34
181,J.K. Rowling,The Old Man and the Sea,4.3,45
182,Khaled Hosseini,The Sorcerer's Stone,5,88
183,Agatha Christie,Fahrenheit 451,4.9,90
184,Khaled Hosseini,The Kite Runner,3.4,45
185,Khaled Hosseini,Mrs. Dalloway,4.4,26
186,Virginia Woolf,Murder on the Orient Express,4.9,11
187,Malcolm Gladwell,The Firm,3.5,87
188,Virginia Woolf,Pride and Prejudice,5,41
189,Jane Austen,Outliers,4.8,87
190,Dan Brown,Fahrenheit 451,3.8,84
191,Isaac Asimov,The Firm,4.9,69
192,Charles Dickens,Mrs. Dalloway,4,25
193,Dan Brown,The Adventures of Tom Sawyer,3,78
194,Virginia Woolf,To Kill a Mockingbird,3.6,20
195,Virginia Woolf,Angels & Demons,3.2,86
196,Margaret Atwood,The Great Gatsby,3.2,39
197,J.K. Rowling,The Hobbit,3.8,68
198,C.S. Lewis,Mrs. Dalloway,3.9,36
199,Ernest Hemingway,Foundation,4.4,49
200,Isaac Asimov,Murder on the Orient Express,3.6,37
201,Ernest Hemingway,Fahrenheit 451,4.5,15
202,Agatha Christie,Outliers,4.5,84
203,Margaret Atwood,Oliver Twist,4.6,100
204,Margaret Atwood,Angels & Demons,3,2
205,Khaled Hosseini,The Shining,3.3,69
206,Khaled Hosseini,Pride and Prejudice,3.9,74
207,Virginia Woolf,Murder on the Orient Express,4,93
208,Agatha Christie,Foundation,3.6,91
209,Agatha Christie,Mrs. Dalloway,4.6,60
210,Margaret Atwood,The Shining,3.8,24
211,Mark Twain,The Shining,3.4,13
212,Ernest Hemingway,The Handmaid's Tale,4.7,19
213,Dan Brown,The Firm,3.9,25
214,F. Scott Fitzgerald,Mrs. Dalloway,3.1,30
215,George R.R. Martin,Angels & Demons,4.9,54
216,J.K. Rowling,Pride and Prejudice,3.4,40
217,Khaled Hosseini,The Firm,4.5,16
218,Harper Lee,The Great Gatsby,3.9,2
219,F. Scott Fitzgerald,The Hobbit,3.4,56
220,George R.R. Martin,The Hobbit,3.2,34
221,Malcolm Gladwell,The Firm,3.1,10
222,F. Scott Fitzgerald,The Firm,4.7,72
223,Khaled Hosseini,The Shining,4.4,3
224,Ray Bradbury,The Hobbit,4.3,70
225,George R.R. Martin,Foundation,4.6,26
226,George R.R. Martin,Oliver Twist,4.4,95
227,Harper Lee,Mrs. Dalloway,3.1,13
